model,patient_id,dice_wt,dice_tc,dice_et,dice_mean_regions
3d_unet_monai,BraTS20_Training_005,0.016289279112758973,0.011560515304987886,0.009385869283098697,0.012411887900281852
3d_unet_monai,BraTS20_Training_006,0.11147540072372479,0.03898482873867342,0.022480816679240907,0.05764701538054637
3d_unet_monai,BraTS20_Training_015,0.10379695806633549,0.01836771532911815,0.00862827134177928,0.04359764824574431
3d_unet_monai,BraTS20_Training_020,0.13772155986216134,0.10447784255959894,0.02334779258033443,0.08851573166736491
2d_unet,BraTS20_Training_005,0.7788176945844923,0.9325373600218766,0.8613511993045255,0.8575687513036314
2d_unet,BraTS20_Training_006,0.9482656281668953,0.9341690012955879,0.8654808984824247,0.9159718426483027
2d_unet,BraTS20_Training_015,0.942826666240529,0.7670417171543129,0.8811311448457932,0.8636665094135451
2d_unet,BraTS20_Training_020,0.928949209294704,0.9215109624020462,0.7660890641392457,0.8721830786119987
