patient_id,num_slices,unet_mean_dice,resunet_mean_dice,difference
BraTS20_Training_001,83,0.9259943962097168,0.9121976494789124,0.013796746730804443
BraTS20_Training_002,55,0.9174491763114929,0.9185833930969238,-0.0011342167854309082
BraTS20_Training_003,52,0.8632087707519531,0.8267277479171753,0.03648102283477783
BraTS20_Training_004,68,0.9144980907440186,0.9130079746246338,0.0014901161193847656
BraTS20_Training_005,51,0.7687590718269348,0.7416102886199951,0.027148783206939697
BraTS20_Training_006,76,0.8973603844642639,0.8741797208786011,0.023180663585662842
BraTS20_Training_008,52,0.7167056202888489,0.7307336926460266,-0.014028072357177734
BraTS20_Training_010,58,0.8118332624435425,0.7870879769325256,0.024745285511016846
BraTS20_Training_016,80,0.6160493493080139,0.6202446222305298,-0.004195272922515869
BraTS20_Training_017,79,0.8614712357521057,0.8521131277084351,0.009358108043670654
BraTS20_Training_018,56,0.8631111979484558,0.8120355010032654,0.05107569694519043
BraTS20_Training_019,49,0.8357457518577576,0.8138788342475891,0.021866917610168457
BraTS20_Training_021,51,0.6239159107208252,0.6491276025772095,-0.025211691856384277
BraTS20_Training_022,77,0.8811098337173462,0.829758882522583,0.051350951194763184
BraTS20_Training_024,89,0.8087506294250488,0.8310483694076538,-0.02229773998260498
BraTS20_Training_025,61,0.9149072766304016,0.7715481519699097,0.14335912466049194
BraTS20_Training_026,79,0.6798956394195557,0.6371625065803528,0.04273313283920288
BraTS20_Training_027,76,0.7923460006713867,0.794440507888794,-0.0020945072174072266
BraTS20_Training_028,40,0.5622357130050659,0.515590488910675,0.04664522409439087
BraTS20_Training_029,65,0.9020662903785706,0.9100901484489441,-0.008023858070373535
BraTS20_Training_030,85,0.718888521194458,0.7308850884437561,-0.011996567249298096
BraTS20_Training_031,82,0.8768868446350098,0.8735201954841614,0.0033666491508483887
BraTS20_Training_032,47,0.722981333732605,0.7159031629562378,0.0070781707763671875
BraTS20_Training_033,68,0.8851329684257507,0.8903114795684814,-0.005178511142730713
BraTS20_Training_034,67,0.8658716082572937,0.8072633147239685,0.058608293533325195
BraTS20_Training_035,62,0.7562077045440674,0.7395851016044617,0.016622602939605713
BraTS20_Training_038,87,0.8092225790023804,0.8019758462905884,0.007246732711791992
BraTS20_Training_040,71,0.9256365299224854,0.8754700422286987,0.05016648769378662
BraTS20_Training_041,78,0.8083494901657104,0.7878982424736023,0.020451247692108154
BraTS20_Training_043,56,0.7074441909790039,0.6330920457839966,0.07435214519500732
BraTS20_Training_044,65,0.626164972782135,0.5997463464736938,0.026418626308441162
BraTS20_Training_045,80,0.8857440948486328,0.8303143382072449,0.05542975664138794
BraTS20_Training_046,60,0.6253701448440552,0.592944860458374,0.03242528438568115
BraTS20_Training_047,92,0.8597104549407959,0.782881498336792,0.0768289566040039
BraTS20_Training_049,73,0.7588503360748291,0.7584571838378906,0.00039315223693847656
BraTS20_Training_051,86,0.9083628058433533,0.9009382724761963,0.007424533367156982
BraTS20_Training_052,58,0.8965215682983398,0.8693437576293945,0.027177810668945312
BraTS20_Training_053,81,0.8710454702377319,0.8464342355728149,0.024611234664916992
BraTS20_Training_056,72,0.7744391560554504,0.7123511433601379,0.0620880126953125
BraTS20_Training_057,70,0.8930476307868958,0.8967927694320679,-0.003745138645172119
BraTS20_Training_058,67,0.5522902011871338,0.5426883697509766,0.009601831436157227
BraTS20_Training_059,54,0.7352526783943176,0.7233430743217468,0.0119096040725708
BraTS20_Training_060,60,0.8906252384185791,0.8878092765808105,0.0028159618377685547
BraTS20_Training_061,45,0.6770085692405701,0.7021217346191406,-0.025113165378570557
BraTS20_Training_062,82,0.8805763125419617,0.8359376192092896,0.04463869333267212
BraTS20_Training_063,46,0.7607102394104004,0.735332727432251,0.025377511978149414
BraTS20_Training_064,98,0.7603106498718262,0.629227876663208,0.13108277320861816
BraTS20_Training_068,50,0.8644448518753052,0.6939080357551575,0.1705368161201477
BraTS20_Training_070,102,0.7188802361488342,0.7124497890472412,0.006430447101593018
BraTS20_Training_072,87,0.8124351501464844,0.8098778128623962,0.0025573372840881348
BraTS20_Training_073,51,0.7919993996620178,0.8762677907943726,-0.08426839113235474
BraTS20_Training_074,80,0.5944706201553345,0.5865182280540466,0.007952392101287842
BraTS20_Training_076,64,0.8229056000709534,0.8188745379447937,0.004031062126159668
BraTS20_Training_077,52,0.9104690551757812,0.8963606953620911,0.014108359813690186
BraTS20_Training_080,42,0.8284003138542175,0.8223010897636414,0.006099224090576172
